Name,RF COMBINED GVT BMK BID YLD 3M - RED. YIELD
01/02/2019,0.312
01/03/2019,0.511
01/04/2019,0.375
01/05/2019,0.311
01/06/2019,0.285
01/07/2019,0.389
01/08/2019,0.402
01/09/2019,0.331
01/10/2019,0.377
01/11/2019,0.404
01/12/2019,0.462
01/01/2020,0.259
01/02/2020,0.409
01/03/2020,0.458
01/04/2020,-0.1
01/05/2020,-0.098
01/06/2020,-0.234
01/07/2020,-0.216
01/08/2020,-0.235
01/09/2020,-0.243
01/10/2020,-0.321
01/11/2020,-0.285
01/12/2020,-0.26
01/01/2021,-0.341
01/02/2021,-0.235
01/03/2021,-0.149
01/04/2021,-0.103
01/05/2021,-0.221
01/06/2021,-0.227
01/07/2021,-0.277
01/08/2021,-0.298
01/09/2021,-0.303
01/10/2021,-0.264
01/11/2021,-0.238
01/12/2021,-0.132
01/01/2022,-0.034
01/02/2022,0.001
01/03/2022,-0.008
01/04/2022,0.062
01/05/2022,0.126
01/06/2022,0.383
01/07/2022,0.568
01/08/2022,0.913
01/09/2022,1.274
01/10/2022,1.623
01/11/2022,1.834
01/12/2022,2.228
01/01/2023,2.52
01/02/2023,2.769
01/03/2023,2.847
01/04/2023,3.06
01/05/2023,3.18
01/06/2023,3.381
01/07/2023,3.61
01/08/2023,3.863
01/09/2023,4.13
01/10/2023,3.995
01/11/2023,4.012
01/12/2023,4.011
29/12/2023,3.986
